List_Sr_No,Set_No,Set_Name,First_Name,Surname,Country,State_Association,DOB,Age,Specialism,Batting,Bowling,Test_caps,ODI_caps,T20_caps,IPL,Previous_IPL_Teams,Team_2022,IPL_2022_Matches,C_U_A,Base_Price_Lakhs
1,1,BA1,Mayank,Agarwal,India,KSCA,16-02-1991,32,BATSMAN,RHB,RIGHT ARM Off Spin,21,5,,113,"RCB, DD, RPSG, PBKS",PBKS,13,Capped,100
2,1,BA1,Harry,Brook,England,,22-02-1999,24,BATSMAN,RHB,RIGHT ARM Medium,1,,20,,,,,Capped,150
3,1,BA1,Ajinkya,Rahane,India,MCA,06-06-1988,34,BATSMAN,RHB,-,82,90,20,158,"MI, RPSG, RR, DC, KKR",KKR,7,Capped,50
4,1,BA1,Joe,Root,England,,30-12-1990,32,BATSMAN,RHB,RIGHT ARM Off Spin,124,158,32,,,,,Capped,100
5,1,BA1,Rilee,Rossouw,South Africa,,09-10-1989,33,BATSMAN,LHB,-,,36,26,5,RCB,,,Capped,200
6,1,BA1,Kane,Williamson,New Zealand,,08-08-1990,32,BATSMAN,RHB,-,88,155,87,76,SRH,SRH,13,Capped,200
7,2,AL1,Sam,Curran,England,,03-06-1998,24,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,24,18,35,32,"KXIP, CSK",,,Capped,200
8,2,AL1,Cameron,Green,Australia,,03-06-1999,23,ALL-ROUNDER,RHB,RIGHT ARM Fast,14,13,8,,,,,Capped,200
9,2,AL1,Shakib Al,Hasan,Bangladesh,,24-03-1987,36,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,63,221,109,71,"KKR, SRH",,,Capped,150
10,2,AL1,Jason,Holder,West Indies,,05-11-1991,31,ALL-ROUNDER,RHB,RIGHT ARM Fast,56,131,49,38,"CSK, KKR, SRH, LSG",LSG,12,Capped,200
11,2,AL1,Sikandar,Raza,Zimbabwe,,24-04-1986,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,17,123,66,,,,,Capped,50
12,2,AL1,Odean,Smith,West Indies,,01-11-1996,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,5,24,6,PBKS,PBKS,6,Capped,50
13,2,AL1,Ben,Stokes,England,,04-06-1991,31,ALL-ROUNDER,LHB,RIGHT ARM Fast Medium,86,105,43,43,"RPSG, RR",,,Capped,200
14,3,WK1,Tom,Banton,England,,11-11-1998,24,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,6,14,2,KKR,,,Capped,200
15,3,WK1,Litton,Das,Bangladesh,,13-10-1994,28,WICKETKEEPER,RHB,-,35,57,65,,,,,Capped,50
16,3,WK1,Heinrich,Klaasen,South Africa,,30-07-1991,31,WICKETKEEPER,RHB,-,1,30,38,7,"RCB, RR",,,Capped,100
17,3,WK1,Kusal,Mendis,Sri Lanka,,02-02-1995,28,WICKETKEEPER,RHB,-,54,87,49,,,,,Capped,50
18,3,WK1,Nicholas,Pooran,West Indies,,02-10-1995,27,WICKETKEEPER,LHB,-,,52,72,47,"PBKS, SRH",SRH,14,Capped,200
19,3,WK1,Phil,Salt,England,,28-08-1996,26,WICKETKEEPER,RHB,-,,11,13,,,,,Capped,200
20,4,FA1,Chris,Jordan,England,,04-10-1988,34,BOWLER,RHB,RIGHT ARM Fast Medium,8,35,84,28,"RCB, SRH, PBKS, CSK",CSK,4,Capped,200
21,4,FA1,Adam,Milne,New Zealand,,13-04-1992,30,BOWLER,RHB,RIGHT ARM Fast,,41,35,10,"MI, RCB, CSK",CSK,1,Capped,200
22,4,FA1,Jhye,Richardson,Australia,,20-09-1996,26,BOWLER,RHB,RIGHT ARM Fast,3,15,18,3,PBKS,,,Capped,150
23,4,FA1,Ishant,Sharma,India,DDCA,02-09-1988,34,BOWLER,RHB,RIGHT ARM Fast,105,80,14,93,"KKR, DCH, SRH, RPSG, KXIP, DC",,,Capped,50
24,4,FA1,Reece,Topley,England,,21-02-1994,29,BOWLER,RHB,LEFT ARM Fast,,20,22,,,,,Capped,75
25,4,FA1,Jaydev,Unadkat,India,SCA,18-10-1991,31,BOWLER,RHB,LEFT ARM Fast Medium,1,7,10,91,"KKR, RCB, DD, RPS, RR, MI",MI,5,Capped,50
26,5,SP1,Akeal,Hosein,West Indies,,25-04-1993,29,BOWLER,LHB,LEFT ARM Slow Orthodox,,29,32,,,,,Capped,100
27,5,SP1,Mayank,Markande,India,PCA,11-11-1997,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,1,20,"RR, MI",MI,2,Capped,50
28,5,SP1,Mujeeb,Rahman,Afghanistan,,28-03-2001,22,BOWLER,RHB,RIGHT ARM Off Spin,1,54,36,19,"KXIP, SRH",,,Capped,100
29,5,SP1,Adil,Rashid,England,,17-02-1988,35,BOWLER,RHB,RIGHT ARM Leg Spin,19,119,92,1,PBKS,,,Capped,200
30,5,SP1,Tabraiz,Shamsi,South Africa,,18-02-1990,33,BOWLER,RHB,LEFT ARM Slow Unorthodox,2,39,59,5,"RCB, RR",,,Capped,100
31,5,SP1,Adam,Zampa,Australia,,31-12-1992,30,BOWLER,RHB,RIGHT ARM Leg Spin,,75,72,14,"RPSG, RCB",,,Capped,150
32,6,UBA1,Shubham,Khajuria,India,JKCA,13-09-1995,27,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
33,6,UBA1,Rohan,Kunnummal,India,KCA,10-05-1998,24,BATSMAN,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,20
34,6,UBA1,Chethan,L.R.,India,KSCA,25-05-2000,22,BATSMAN,RHB,-,,,,,,,,Uncapped,20
35,6,UBA1,Shaik,Rasheed,India,ACA,24-09-2004,18,BATSMAN,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,20
36,6,UBA1,Anmolpreet,Singh,India,PCA,28-03-1998,25,BATSMAN,RHB,RIGHT ARM Off Spin,,,,3,MI,MI,2,Uncapped,20
37,6,UBA1,Himmat,Singh,India,DDCA,08-11-1996,26,BATSMAN,RHB,RIGHT ARM Off Spin,,,,0,RCB,,,Uncapped,20
